Top_RGB_R,Top_RGB_G,Top_RGB_B,Bot_RGB_R,Bot_RGB_G,Bot_RGB_B,Top_YUV_Y,Top_YUV_U,Top_YUV_V,Bot_YUV_Y,Bot_YUV_U,Bot_YUV_V,Top_HSV_H,Top_HSV_S,Top_HSV_V,Bot_HSV_H,Bot_HSV_S,Bot_HSV_V,Top_LAB_L,Top_LAB_A,Top_LAB_B,Bot_LAB_L,Bot_LAB_A,Bot_LAB_B,Top_hls_H,Top_hls_L,Top_hls_S,Bot_hls_H,Bot_hls_L,Bot_hls_S,Thickness
4.1532,3.1884,0.6432,28.0056,33.9104,36.8248,3.234,126.8324,128.9192,32.5432,130.0112,123.8608,25.7316,221.996,4.4044,100.3728,61.6472,36.8432,2.0744,127.9088,129.4676,32.554,126.0744,125.2756,25.6956,2.524,207.3364,100.3728,32.4824,35.5216,61.53333333
5.398,1.7188,0.718,27.142,31.974,38.358,2.6588,127.1376,130.6736,31.2556,131.1088,124.0064,13.0112,227.922,5.398,106.4624,74.3752,38.358,1.5796,128.7368,129.0248,30.5744,127.8172,122.9168,13.0032,3.0584,211.8972,106.4448,32.8852,43.8008,61.8
5.7636,1.9512,1.2416,25.6052,33.8948,41.1668,2.9672,127.2124,130.732,32.2932,131.9424,122.2896,45.6344,212.1256,5.7636,103.984,96.6772,41.1668,1.66,128.9208,128.8384,32.3532,126.7556,121.9848,45.5184,3.4144,190.1504,103.984,33.4728,59.9512,61.86666667
3.4792,0.4404,5.9624,23.4844,35.1396,45.8564,1.9788,129.7928,129.4972,32.8004,134.4096,119.7228,137.0652,238.5592,6.1336,104.1612,124.7164,45.8564,1.012,129.52,126.1348,33.6992,126.4708,119.2936,137.0524,3.2472,227.466,104.1612,34.724,82.9068,63.5
5.9956,0.6856,2.2932,30.9168,36.5712,46.0636,2.4044,127.9536,131.2732,36.0592,132.616,123.4464,118.4496,228.624,6.2396,108.6816,83.6932,46.0636,1.1384,129.9632,127.8068,36.58,128.2196,120.9584,118.2984,3.3388,216.1748,108.6432,38.5756,50.3056,64.9
3.4384,0.5824,2.3348,26.3172,35.0044,44.8076,1.62,128.3676,129.7992,33.4056,133.3736,121.7456,137.7804,218.6252,3.872,106.074,105.146,44.8076,0.772,129.2784,127.3224,34.0136,127.2772,120.312,137.6472,2.1272,202.3104,106.0708,35.622,66.7424,63.5
0.5644,4.0724,12.962,25.468,39.8484,45.3336,4.0616,132.0024,124.5424,36.1312,132.1552,118.5736,111.4572,244.3072,12.962,98.0544,111.9472,45.348,2.474,128.5376,124.2284,38.3232,123.672,122.4236,111.3496,6.93,235.79,98.0528,35.5248,72.3596,77.03333333
0.5324,2.8964,18.03,26.468,33.4432,40.0492,3.9268,134.9808,124.6072,32.1932,131.4896,122.904,115.7724,248.3312,18.03,104.5404,86.4352,40.058,2.2576,129.7896,121.2832,32.0768,126.9372,122.5736,115.6052,9.3444,242.624,104.5316,33.3868,52.6712,78.53333333
1.1104,1.0384,14.4232,25.0324,34.3956,47.5524,2.4516,133.8208,126.6588,33.082,135.0944,120.9376,120.0656,243.9956,14.4232,107.536,120.4384,47.5524,1.4232,130.0504,122.6328,33.4772,128.2464,117.9388,120.0656,7.618,235.134,107.536,36.3724,79.5532,77.2
0.7856,3.5964,15.9688,27.2624,34.6464,39.9856,4.1644,133.6252,124.6244,33.1216,130.9952,122.936,114.5892,243.3232,15.9688,102.272,81.32,40.0144,2.314,129.7416,122.4704,33.3248,126.3392,123.4348,114.43,8.4572,233.6416,102.272,33.7268,48.6796,77.13333333
0.7084,6.6864,22.0456,22.452,25.5768,28.8948,6.7708,135.578,122.8944,24.9512,129.7916,125.6896,111.6044,247.4548,22.0456,105.1572,59.0548,29.0004,5.1584,129.4184,119.8604,22.5864,127.8472,125.252,111.5892,11.4584,241.0012,105.1536,25.9992,34.4708,87.6
1.1508,9.4676,26.1556,26.754,31.6308,36.146,8.8368,136.5036,121.314,30.706,130.3008,124.1392,110.0396,244.5616,26.1556,104.1152,66.4252,36.146,6.9732,129.34,117.872,29.972,127.3128,124.17,110.0356,13.7908,235.5476,104.1088,31.688,38.3,87.76666667
1.1376,7.5392,28.632,26.5592,31.0632,41.6664,8.0288,137.9192,122.1032,31.0056,133.04,123.8576,113.0112,245.7196,28.632,111.4688,92.2924,41.6664,6.1584,130.9528,115.4252,30.052,129.1344,120.168,112.9884,15.002,237.6168,111.368,34.1516,56.936,87.06666667
1.0344,9.6852,25.562,21.1772,29.5392,37.1536,8.8464,136.192,121.188,27.8692,132.3,122.144,109.394,245.2696,25.562,104.0504,109.2328,37.1592,6.9772,129.0288,118.336,26.9876,126.6564,121.622,109.3924,13.4176,236.6588,104.0332,29.308,70.4884,88.56666667
1.9136,19.7884,41.792,23.9832,32.476,40.3904,16.8636,140.0604,115.0432,30.7336,132.3888,122.1388,106.5928,243.8552,41.792,104.4952,103.612,40.3904,15.4828,130.2944,110.9796,30.5908,126.8468,121.4912,106.3144,21.8544,234.3048,104.4916,32.2276,65.5568,101.8333333
1.752,17.9152,41.1004,24.308,29.8556,38.8476,15.7128,140.284,116.0068,29.2248,132.3488,123.5376,107.7824,244.616,41.1004,108.806,95.1712,38.8476,13.7896,131.0464,110.5412,28.0156,128.3448,120.9288,107.684,21.4552,235.542,108.7864,31.8012,59.0544,101.4666667
1.9688,19.7944,43.7616,27.4624,32.894,42.1064,17.138,141.0336,114.8296,32.338,132.5152,123.5872,107.2156,243.9628,43.7616,109.1176,88.4724,42.1064,15.724,131.5172,109.6132,31.9944,128.3736,121.0192,106.9768,22.952,234.4944,109.036,34.8364,54.3104,101.4333333
1.518,22.898,40.9052,26.2336,34.1024,37.6096,18.6048,138.6908,112.9228,32.2192,130.2608,122.8512,103.544,245.7236,40.9052,99.192,77.4596,37.6096,17.8752,127.3616,113.3112,32.4044,125.4876,124.5944,103.5376,21.2108,237.7012,99.192,32.0432,45.8968,102.2666667
0.722,1.9708,11.2924,24.36,34.6912,43.382,2.5464,131.9152,126.1756,32.5712,133.0784,120.7504,116.7536,239.0668,11.2924,103.7464,111.6516,43.382,1.3556,129.5472,124.1356,33.1608,126.3448,120.7768,116.608,6.0992,227.404,103.7208,33.9568,72.348,73.23333333
1.0504,2.368,13.6616,26.1528,32.0764,38.2248,3.2484,132.87,125.802,31.0152,131.2288,123.6336,116.9596,238.0348,13.6616,105.0552,80.2704,38.2528,1.6812,129.5272,123.2248,30.5164,127.248,123.0484,116.8752,7.3572,225.6592,105.0444,32.3116,48.3588,73.86666667
1.5936,1.1004,15.7688,28.098,35.3156,46.4836,2.7928,134.3928,126.8008,34.4164,133.8432,122.5232,120.9976,241.1444,15.7688,108.5456,100.4936,46.4836,1.7048,130.1352,122.1852,34.7984,128.2856,119.5024,120.9968,8.3348,229.9128,108.5296,37.4196,63.0728,73.13333333
0.3124,2.3808,14.5448,25.0412,30.938,40.9368,3.138,133.4196,125.1744,30.3148,132.9404,123.3104,115.674,249.9304,14.5448,108.8928,99.4192,40.9384,1.6176,129.6024,122.8096,29.456,128.5264,120.3596,115.4604,7.5264,245.7128,108.758,33.0872,62.0652,73.76666667
0.828,12.3268,26.4756,24.218,34.178,40.4564,10.4892,135.9256,119.3388,31.9076,131.8448,121.3048,106.4684,247.634,26.4756,101.2232,101.9888,40.458,8.3068,128.26,118.6124,32.3056,125.676,122.4316,106.4684,13.754,241.072,101.2232,32.4768,64.4916,84.5
1.0668,9.6164,29.7984,24.7864,33.4264,45.7512,9.342,137.8908,120.7248,32.1944,134.6624,121.568,111.002,246.3024,29.7984,107.6528,116.9,45.7512,7.3812,130.4176,115.2668,32.2952,128.1524,118.5556,110.9988,15.57,238.482,107.64,35.3372,76.316,82.73333333
0.768,11.894,28.686,27.4572,34.1228,40.5748,10.4204,136.9084,119.3476,32.9076,131.3616,123.172,108.0108,248.5556,28.686,104.9248,82.71,40.5748,8.3616,129.048,116.9048,32.9804,126.9492,122.7828,108.0096,14.8204,242.8656,104.8976,34.1372,49.7924,84.53333333
1.058,9.1792,27.7192,24.3668,34.4404,39.188,8.8108,137.172,121.2472,31.9368,131.1936,121.3632,110.7688,245.6404,27.7192,99.6404,95.8892,39.2012,6.976,130.0088,116.6576,32.4904,125.0568,123.4608,110.7468,14.5496,237.2328,99.6404,31.9536,60.032,83.06666667
3.7048,22.0776,43.6468,29.6216,33.4984,39.6648,18.9504,139.9568,114.7532,33.0824,130.8288,124.6544,106.0996,234.01,43.6468,108.5616,64.3856,39.6648,17.9028,130.0992,111.166,32.7896,128.0436,123.2852,106.0316,23.7248,217.4036,108.5088,34.6844,37.242,96.63333333
1.874,19.4712,38.0512,27.894,32.2908,36.0188,16.2936,138.4308,115.562,31.4268,130.0784,124.6016,105.3176,242.8604,38.0512,104.3552,58.12,36.0188,14.4988,128.9892,113.182,30.8668,127.1552,124.8204,105.2712,19.9476,232.6984,104.3552,32.0584,32.9548,95.93333333
1.1564,21.1696,44.3916,24.3716,32.7112,42.2176,17.8788,140.8564,113.2776,31.2992,133.1424,122.0376,105.9832,248.4728,44.3916,105.8364,107.7232,42.2176,16.8924,130.1524,109.9368,31.1124,127.392,120.4956,105.9804,22.8228,242.7204,105.8244,33.3684,68.8436,97.46666667
2.0388,23.2488,46.7296,27.1304,35.376,45.12,19.6136,141.2236,112.4224,34.0032,133.2352,122.0028,105.6924,244.284,46.7296,106.3848,102.104,45.1224,19.2832,130.182,109.6592,34.51,127.4236,120.358,105.6924,24.4688,235.358,106.3584,36.1996,64.1892,97.93333333
15.9272,29.3308,41.406,25.8844,33.5344,44.4808,26.6952,135.298,118.4024,32.5948,133.8508,122.1696,104.1544,157.1444,41.406,107.8456,106.8816,44.4808,26.392,126.5892,118.0832,32.546,127.9676,119.5952,104.156,28.8744,114.4784,107.7888,35.222,68.044,111.9
13.0748,28.3204,43.1128,24.8344,32.7096,42.2472,25.4196,136.7956,117.1736,31.404,133.0416,122.4032,104.9644,178.6332,43.1128,106.464,105.2816,42.2472,25.1976,127.2224,116.0532,31.1832,127.6612,120.4924,104.9644,28.2504,139.0836,106.4608,33.6108,66.6556,109.4333333
7.6288,29.198,45.6784,23.2436,34.0128,42.4332,24.638,138.1108,113.0088,31.6896,133.064,120.604,102.9424,213.5912,45.6784,103.2488,115.2612,42.4332,25.6664,126.3052,114.3928,32.112,126.16,120.8648,102.9404,26.7208,185.6724,103.2488,32.9504,75.3452,109.3
